											2	3	4	6	7	10	11	13	16	17	18	19	20	21	22	24	25	26	28	29	30	31	33	34	35	36	37	38	39	40	41	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	61	63	66	68	69	70	74	76	80	82	86	101	102	103	104	105	106	107	108	109	110	111	112	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	131	132	133	134	135	136	139	140	141	143	144	145	146	147	148	151		291	292	294	301	303	307	310	329	345	351	372	373	375	377	378	381	382	386	389	397		263	264	267	268	269	270	271	272	274	275	277	279	252	259	260	261	262		241	242	243	244		221	222	223	224	225	226	227	228		42	71	206	81	88		401	402	404	406	408	409	412	417	418	419	420	426	428	429	410	411	413	414	415	422	425	430	434	438	439	441	443	445		451	452	454	455	456	457	459	471	464	466	469	470	472	473								
コード	納品日		便	P品番	商品名	伝票原価	伝票売価	値入	売価	単位	光の森	学園	ゆめタウン呉	サンモール	大川	中津	夢彩都	安古市	倉敷	大牟田	南岩国	平島	蔵王	サンピアン	柳井	高梁	東広島	黒瀬	井原	江田島	八代	吉田	久世	長府	新南陽	山陽	浜田	益田	斐川	高松	行橋	川尻	武雄	YM浜田	美作	八本松	防府	邑久	遠賀	筑紫野	宇部	丹波	山口	大竹	博多	八女	赤間	神西	八木	府中	八幡	久留米	己斐	はません	尾道	沼田	シティモール	佐賀	別府	広島	出雲	三豊	丸亀	みゆき	ゆめシティ	うきは	津山	徳島	小倉東	下関駅	新宮	西栄	田崎	玉名	阿賀	二葉の里	下関	松橋	大江	柳川	廿日市	YMさが	筑後	徳山	ＬＥＣＴ	南行橋	江津	福津	姫路	下松	福山	城野	南小野田	日田	青山	西条	飯塚	新大村	祇園	YM五日市		城山	清水	水前寺駅	武蔵ケ丘	龍田	帯山	新町熊本	多良木	山鹿	鏡	九品寺	近見	島崎	宇土	新外	八代高田	合志	東山鹿	人吉	菊陽		若園	東折尾	津屋崎	Ｄ行橋	大刀洗	Ｄ中津	幡生	田川大任	香月西	宇佐	豊前	筥松	永犬丸	本城	上津	花瀬	稲築		トマト	アップル	オレンジ	メロン		美馬	小松島	ウィンズ	池田	津田	脇町	田宮	羽ノ浦		岩国	大町	三次東	可部	柳井西		東海田	瀬野川	天満	古江	宮内	戸坂	三筋	白木	大野	楠木	三越	庚午	高陽	十日市	福田	光町	大崎	Ｙ吉田	中筋	アッセ	Ｙ府中	本浦	本通	ekie	さんすて	幟町	東本浦	ミナモア		小倉	飯塚	曽根	東門司	門司本店	朽網	恒見	Ｙ直方	川棚	板持	豊田	新下関	南仙崎	東萩		総計	8350330	実績	消化率			
	2025/06/12	木			父の日に仕掛けよう！寿司店舗のみでOK		38500																																																																																																																																																																																																																0	0					
	2025/06/13	金					38500																																																																																																																																																																																																																0	0					
	2025/06/14	土			※150-180ｋの大型サイズなので		38500				4				1	1	4							1							1																		1	4					2							1		1			1	4	1						1																																1																																																																																																												29	893200					
下田BY	2025/06/15	日			ロインを1/3ｏｒ1/4カットして納品します		38500																																																																																																																																																																																																																0	0			29		1116500
	2025/06/09	月	１便		本州店舗用　生本まぐろ	79300	127400	0.37755102040816324	赤身ｇ1180	C約12-15ｋｇ																																																																																																																																																																																																													2.5	318500					
	2025/06/10	火			高知県産　日の出まぐろ　		127400		中とろｇ1380	１の倍数			0.5																																																									1																									0.5														0.5		2.5																																																																																																								2.5	318500					
	2025/06/11	水			事前確定（本州もサイズUP）		127400		大トロｇ1580	0.5可																																																																																																																																																																																																													0	0					
	2025/06/12	木			原価ｋ6100　売価ｋ9800		127400																																																																							0.5																0.5																	1																																																																																																								1	127400					
	2025/06/13	金					127400																																																																																																																																																																																																																0	0					
本州	2025/06/14	土					127400																																																																																								0.5																0.5																																																																																																								0.5	63700					
旭物産	2025/06/15	日					127400																																																																																																																																																																																																																0	0			6.5		828100
	2025/06/09	月	１便		本州店舗用　生本まぐろ	22050	34300	0.35714285714285715	赤身ｇ1180	C約3-4㌔																																																																																																																																																																																																													0	0					
	2025/06/10	火			小型店用：ロイン1/3カット		34300		中とろｇ1380	１の倍																																																																																																					0																																																																																																								0	0					
	2025/06/11	水			大型店打ち込みの場合はロイン0.5に打ち変えます		34300		大トロｇ1580																																																																																																																																																																																																														0	0					
	2025/06/12	木					34300																																																																																																								0																																																																																																								0	0					
	2025/06/13	金					34300																																																																																																																																																																																																																0	0					
本州	2025/06/14	土					34300																																																																																																								0																																																																																																								0	0					
旭物産	2025/06/15	日					34300																																																																																																																																																																																																																0	0			0		0
	2025/06/09	月	１便		九州店舗用　生本まぐろ	79300	127400	0.37755102040816324	赤身ｇ1180	C約12-15ｋｇ																																																																																																																																																																																																													0	0					
	2025/06/10	火			長崎県産本まぐろ		127400		中とろｇ1380	１の倍数							0.5														0.5																																																																																1																																																																																																								1	127400					
	2025/06/11	水			事前確定		127400		大トロｇ1580	0.5可																																																																																																																																																																																																													0	0					
	2025/06/12	木			原価ｋ6100　売価ｋ9800		127400				0.5						0.5																																																																																														1																	0.5																																																																																							1	127400					
	2025/06/13	金					127400																																																																																																																																																																																																																0	0					
九州	2025/06/14	土					127400																								0.5										0.5																																		0.5																																				1.5																																																																																																								1.5	191100					
旭物産	2025/06/15	日					127400																																																																																																																																																																																																																0	0			3.5		445900
	2025/06/09	月	１便		九州店舗用　生本まぐろ	28350	44100	0.35714285714285715	赤身ｇ1180	C約4-5㌔																																																																																																																																																																																																													0	0					
